WKT_,WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (107.60981 -6.914744)",POINT (107.60981 -6.914744),10.0,0.0,Bandung,10.0,Kota,-6.914744,107.609810,active
"POINT (106.816635 -6.595038)",POINT (106.816635 -6.595038),20.0,0.0,Bogor,20.0,Kota,-6.595038,106.816635,active
"POINT (107.00329 -6.23827)",POINT (107.00329 -6.23827),30.0,0.0,Bekasi,30.0,Kota,-6.238270,107.003290,active
"POINT (106.794243 -6.402484)",POINT (106.794243 -6.402484),40.0,0.0,Depok,40.0,Kota,-6.402484,106.794243,active
"POINT (107.5425 -6.8722)",POINT (107.5425 -6.8722),50.0,0.0,Cimahi,50.0,Kota,-6.872200,107.542500,active
"POINT (106.926949 -6.918467)",POINT (106.926949 -6.918467),60.0,0.0,Sukabumi,60.0,Kota,-6.918467,106.926949,active
"POINT (108.534651 -7.370779)",POINT (108.534651 -7.370779),70.0,0.0,Banjar,70.0,Kota,-7.370779,108.534651,active
"POINT (108.552316 -6.732023)",POINT (108.552316 -6.732023),80.0,0.0,Cirebon,80.0,Kota,-6.732023,108.552316,active
"POINT (108.217163 -7.350443)",POINT (108.217163 -7.350443),90.0,0.0,Tasikmalaya,90.0,Kota,-7.350443,108.217163,active
"POINT (107.603611 -7.044125)",POINT (107.603611 -7.044125),100.0,0.0,Kabupaten Bandung,100.0,Kabupaten,-7.044125,107.603611,active
"POINT (106.828745 -6.47224)",POINT (106.828745 -6.47224),110.0,0.0,Kabupaten Bogor,110.0,Kabupaten,-6.472240,106.828745,active
"POINT (107.094373 -6.234985)",POINT (107.094373 -6.234985),120.0,0.0,Kabupaten Bekasi,120.0,Kabupaten,-6.234985,107.094373,active
"POINT (106.927463 -6.94178)",POINT (106.927463 -6.94178),130.0,0.0,Kabupaten Sukabumi,130.0,Kabupaten,-6.941780,106.927463,active
"POINT (107.142185 -6.816154)",POINT (107.142185 -6.816154),140.0,0.0,Kabupaten Cianjur,140.0,Kabupaten,-6.816154,107.142185,active
"POINT (107.9055 -7.202735)",POINT (107.9055 -7.202735),150.0,0.0,Kabupaten Garut,150.0,Kabupaten,-7.202735,107.905500,active
"POINT (108.227081 -7.36854)",POINT (108.227081 -7.36854),160.0,0.0,Kabupaten Tasikmalaya,160.0,Kabupaten,-7.368540,108.227081,active
"POINT (108.353772 -7.325322)",POINT (108.353772 -7.325322),170.0,0.0,Kabupaten Ciamis,170.0,Kabupaten,-7.325322,108.353772,active
"POINT (108.483326 -6.975407)",POINT (108.483326 -6.975407),180.0,0.0,Kabupaten Kuningan,180.0,Kabupaten,-6.975407,108.483326,active
"POINT (108.227121 -6.836091)",POINT (108.227121 -6.836091),190.0,0.0,Kabupaten Majalengka,190.0,Kabupaten,-6.836091,108.227121,active
"POINT (107.923511 -6.850854)",POINT (107.923511 -6.850854),200.0,0.0,Kabupaten Sumedang,200.0,Kabupaten,-6.850854,107.923511,active
"POINT (107.764842 -6.561491)",POINT (107.764842 -6.561491),210.0,0.0,Kabupaten Subang,210.0,Kabupaten,-6.561491,107.764842,active
"POINT (108.324971 -6.335076)",POINT (108.324971 -6.335076),220.0,0.0,Kabupaten Indramayu,220.0,Kabupaten,-6.335076,108.324971,active
"POINT (107.446475 -6.540725)",POINT (107.446475 -6.540725),230.0,0.0,Kabupaten Purwakarta,230.0,Kabupaten,-6.540725,107.446475,active
"POINT (107.337579 -6.323643)",POINT (107.337579 -6.323643),240.0,0.0,Kabupaten Karawang,240.0,Kabupaten,-6.323643,107.337579,active
"POINT (108.477586 -6.761772)",POINT (108.477586 -6.761772),250.0,0.0,Kabupaten Cirebon,250.0,Kabupaten,-6.761772,108.477586,active
"POINT (108.498752 -7.607874)",POINT (108.498752 -7.607874),260.0,0.0,Kabupaten Pangandaran,260.0,Kabupaten,-7.607874,108.498752,active
