WKT_,WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (112.75209 -7.257472)",POINT (112.75209 -7.257472),10.0,0.0,Kota Surabaya,10.0,Kota,-7.257472,112.752090,active
"POINT (112.632629 -7.96662)",POINT (112.632629 -7.96662),20.0,0.0,Kota Malang,20.0,Kota,-7.966620,112.632629,active
"POINT (112.524033 -7.871939)",POINT (112.524033 -7.871939),30.0,0.0,Kota Batu,30.0,Kota,-7.871939,112.524033,active
"POINT (112.017928 -7.84804)",POINT (112.017928 -7.84804),40.0,0.0,Kota Kediri,40.0,Kota,-7.848040,112.017928,active
"POINT (112.15935 -8.10029)",POINT (112.15935 -8.10029),50.0,0.0,Kota Blitar,50.0,Kota,-8.100290,112.159350,active
"POINT (111.523089 -7.629445)",POINT (111.523089 -7.629445),60.0,0.0,Kota Madiun,60.0,Kota,-7.629445,111.523089,active
"POINT (112.433812 -7.472157)",POINT (112.433812 -7.472157),70.0,0.0,Kota Mojokerto,70.0,Kota,-7.472157,112.433812,active
"POINT (112.907761 -7.645539)",POINT (112.907761 -7.645539),80.0,0.0,Kota Pasuruan,80.0,Kota,-7.645539,112.907761,active
"POINT (113.215591 -7.754332)",POINT (113.215591 -7.754332),90.0,0.0,Kota Probolinggo,90.0,Kota,-7.754332,113.215591,active
"POINT (112.718333 -7.446667)",POINT (112.718333 -7.446667),100.0,0.0,Kabupaten Sidoarjo,100.0,Kabupaten,-7.446667,112.718333,active
"POINT (112.655473 -7.156576)",POINT (112.655473 -7.156576),110.0,0.0,Kabupaten Gresik,110.0,Kabupaten,-7.156576,112.655473,active
"POINT (112.431641 -7.4723)",POINT (112.431641 -7.4723),120.0,0.0,Kabupaten Mojokerto,120.0,Kabupaten,-7.472300,112.431641,active
"POINT (112.233082 -7.545064)",POINT (112.233082 -7.545064),130.0,0.0,Kabupaten Jombang,130.0,Kabupaten,-7.545064,112.233082,active
"POINT (112.334396 -7.126961)",POINT (112.334396 -7.126961),140.0,0.0,Kabupaten Lamongan,140.0,Kabupaten,-7.126961,112.334396,active
"POINT (111.88112 -7.150975)",POINT (111.88112 -7.150975),150.0,0.0,Kabupaten Bojonegoro,150.0,Kabupaten,-7.150975,111.881120,active
"POINT (111.874985 -6.897066)",POINT (111.874985 -6.897066),160.0,0.0,Kabupaten Tuban,160.0,Kabupaten,-6.897066,111.874985,active
"POINT (111.694031 -7.625339)",POINT (111.694031 -7.625339),170.0,0.0,Kabupaten Madiun,170.0,Kabupaten,-7.625339,111.694031,active
"POINT (111.433799 -7.46062)",POINT (111.433799 -7.46062),180.0,0.0,Kabupaten Ngawi,180.0,Kabupaten,-7.460620,111.433799,active
"POINT (111.348287 -7.65405)",POINT (111.348287 -7.65405),190.0,0.0,Kabupaten Magetan,190.0,Kabupaten,-7.654050,111.348287,active
"POINT (111.466686 -7.871042)",POINT (111.466686 -7.871042),200.0,0.0,Kabupaten Ponorogo,200.0,Kabupaten,-7.871042,111.466686,active
"POINT (111.153915 -8.18097)",POINT (111.153915 -8.18097),210.0,0.0,Kabupaten Pacitan,210.0,Kabupaten,-8.180970,111.153915,active
"POINT (111.70691 -8.06665)",POINT (111.70691 -8.06665),220.0,0.0,Kabupaten Trenggalek,220.0,Kabupaten,-8.066650,111.706910,active
"POINT (111.902032 -8.065645)",POINT (111.902032 -8.065645),230.0,0.0,Kabupaten Tulungagung,230.0,Kabupaten,-8.065645,111.902032,active
"POINT (112.161692 -8.095452)",POINT (112.161692 -8.095452),240.0,0.0,Kabupaten Blitar,240.0,Kabupaten,-8.095452,112.161692,active
"POINT (112.097259 -7.777859)",POINT (112.097259 -7.777859),250.0,0.0,Kabupaten Kediri,250.0,Kabupaten,-7.777859,112.097259,active
"POINT (111.904607 -7.594332)",POINT (111.904607 -7.594332),260.0,0.0,Kabupaten Nganjuk,260.0,Kabupaten,-7.594332,111.904607,active
